orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
407286830327,APEX105540000001423,407286830327, Sell,MESH6,MES,Micro E-mini S&P 500,6885.0,6,02/20/2026 07:05:54,407286830327, Filled,-2,0,0.25,,407286830327,02/20/2026 07:05:54,2/20/26,6,, Market,,,,,6,6885.00,6885.0,,"206,550.00",USD
407286830333,APEX105540000001423,407286830333, Buy,MESH6,MES,Micro E-mini S&P 500,6880.0,2,02/20/2026 07:06:54,407286830333, Filled,-2,0,0.25,,407286830333,02/20/2026 07:06:54,2/20/26,2,, Market,,,,,2,6880.00,6880.0,,"68,800.00",USD
407286830341,APEX105540000001423,407286830341, Buy,MESH6,MES,Micro E-mini S&P 500,6906.25,2,02/20/2026 07:10:06,407286830341, Filled,-2,0,0.25,,407286830341,02/20/2026 07:10:06,2/20/26,2,, Market,,,,,2,6906.25,6906.25,,"69,062.50",USD
407286830349,APEX105540000001423,407286830349, Buy,MESH6,MES,Micro E-mini S&P 500,6906.25,2,02/20/2026 07:10:06,407286830349, Filled,-2,0,0.25,,407286830349,02/20/2026 07:10:06,2/20/26,2,, Market,,,,,2,6906.25,6906.25,,"69,062.50",USD
407286830357,APEX105540000001423,407286830357, Sell,MESH6,MES,Micro E-mini S&P 500,6885.5,6,02/20/2026 07:14:53,407286830357, Filled,-2,0,0.25,,407286830357,02/20/2026 07:14:53,2/20/26,6,, Market,,,,,6,6885.50,6885.5,,"206,565.00",USD
407286830363,APEX105540000001423,407286830363, Buy,MESH6,MES,Micro E-mini S&P 500,6881.5,2,02/20/2026 07:16:01,407286830363, Filled,-2,0,0.25,,407286830363,02/20/2026 07:16:01,2/20/26,2,, Market,,,,,2,6881.50,6881.5,,"68,815.00",USD
407286830371,APEX105540000001423,407286830371, Buy,MESH6,MES,Micro E-mini S&P 500,6876.5,2,02/20/2026 07:16:09,407286830371, Filled,-2,0,0.25,,407286830371,02/20/2026 07:16:09,2/20/26,2,, Market,,,,,2,6876.50,6876.5,,"68,765.00",USD
407286830379,APEX105540000001423,407286830379, Buy,MESH6,MES,Micro E-mini S&P 500,6911.25,2,02/20/2026 07:26:51,407286830379, Filled,-2,0,0.25,,407286830379,02/20/2026 07:26:51,2/20/26,2,, Market,,,,,2,6911.25,6911.25,,"69,112.50",USD
407286830387,APEX105540000001423,407286830387, Sell,MESH6,MES,Micro E-mini S&P 500,6917.75,6,02/20/2026 08:45:21,407286830387, Filled,-2,0,0.25,,407286830387,02/20/2026 08:45:21,2/20/26,6,, Market,,,,,6,6917.75,6917.75,,"207,532.50",USD
407286830393,APEX105540000001423,407286830393, Buy,MESH6,MES,Micro E-mini S&P 500,6917.25,6,02/20/2026 08:51:32,407286830393, Filled,-2,0,0.25,,407286830393,02/20/2026 08:51:32,2/20/26,6,, Market,,,,,6,6917.25,6917.25,,"207,517.50",USD
407286830401,APEX105540000001423,407286830401, Sell,MESH6,MES,Micro E-mini S&P 500,6883.0,6,02/20/2026 09:30:16,407286830401, Filled,-2,0,0.25,,407286830401,02/20/2026 09:30:16,2/20/26,6,, Market,,,,,6,6883.00,6883.0,,"206,490.00",USD
407286830407,APEX105540000001423,407286830407, Buy,MESH6,MES,Micro E-mini S&P 500,6883.5,6,02/20/2026 09:31:43,407286830407, Filled,-2,0,0.25,,407286830407,02/20/2026 09:31:43,2/20/26,6,, Market,,,,,6,6883.50,6883.5,,"206,505.00",USD
407286830415,APEX105540000001423,407286830415, Buy,MESH6,MES,Micro E-mini S&P 500,6902.0,6,02/20/2026 09:56:24,407286830415, Filled,-2,0,0.25,,407286830415,02/20/2026 09:56:24,2/20/26,6,, Market,,,,,6,6902.00,6902.0,,"207,060.00",USD
407286830421,APEX105540000001423,407286830421, Sell,MESH6,MES,Micro E-mini S&P 500,6907.5,2,02/20/2026 09:59:15,407286830421, Filled,-2,0,0.25,,407286830421,02/20/2026 09:59:15,2/20/26,2,, Market,,,,,2,6907.50,6907.5,,"69,075.00",USD
407286830429,APEX105540000001423,407286830429, Sell,MESH6,MES,Micro E-mini S&P 500,6918.25,2,02/20/2026 10:33:36,407286830429, Filled,-2,0,0.25,,407286830429,02/20/2026 10:33:36,2/20/26,2,, Market,,,,,2,6918.25,6918.25,,"69,182.50",USD
407286830437,APEX105540000001423,407286830437, Sell,MESH6,MES,Micro E-mini S&P 500,6912.5,2,02/20/2026 10:33:57,407286830437, Filled,-2,0,0.25,,407286830437,02/20/2026 10:33:57,2/20/26,2,, Market,,,,,2,6912.50,6912.5,,"69,125.00",USD
